Stone_NO,Shape,Weight,Color,Clarity,Cut,Polish,Symm,FlrIntens,FlrColor,FColor,FCIntens,FCOverton,Measurement,Diameter_Min,Diameter_Max,Total_Depth,Lab,LabLocation,Lab_Report_No,LabLink,Lab_Report_Date,Laser_Inscription,Treatment,Location,Total_Depth_Per,Table_Diameter_Per,GirdleName,GirdleThin_ID,GirdleThick_ID,Girdle_Per,GirdleCon,CuletSize,CuletCon,CrownHeight,CrownAngle,PavillionHeight,PavillionAngle,PairStock_No,Parcels_Stone,Comment,KeyToSymbols,Shade,StarLength,LowerHalve,Table_Inclusion,Black_Inclusion,Side_Inclusion,Open_Inclusion,Brand,HnA,Ratio,Eyeclean,Tinge,Feather_Inclusion,Milkey,Luster,Internal_Graining,Surface_Graining,Natural_Type,ExtraFacet,Fancy_Color_Description,Stone_Comment,NewArrival,StockStatus,Is_VedioExist,Is_imgExist,Is_CertyExist,Certificate_file_url,Stone_Img_url,Video_url,Lab_Report_Comment,Remarks,Control_No,LiveRAP,SaleDis,SaleRate,SaleAmt,BIS,BIC,WIS,WIC,CVD_HPHT
KG-53112,ROUND,0.700,J,SI2,EX,EX,EX,NON,,,,,5.64 - 5.68 * 3.55,5.64,5.68,3.55,GIA,,7392456919,https://www.gia.edu/report-check?reportno=7392456919,,,,HK,62.80,57.00,MED to STK,MED,STK,0.04,FACETED,NONE,,16.00,36.50,43.50,41.00,,,,Crystal  Feather  Cloud,,,,SB2,TB2,SF0,SC1,,,0.99,,,TF2,,,,,,,  ,,18/07/2023,AVAILABLE,NO,NO,NO,,,,,,,2000.0,-40.15,1197.0,837.9,,,,,
KG-60684,ROUND,0.340,K,VS2,EX,EX,EX,NON,,,,,4.43 - 4.45 * 2.77,4.43,4.45,2.77,GIA,,6402201472,https://www.gia.edu/report-check?reportno=6402201472,,,,HK,62.40,57.00,MED to STK,MED,STK,0.04,FACETED,NONE,,15.50,36.50,43.00,40.80,,,,Crystal  Feather,,,,SB0,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONHOLD,NO,NO,NO,,,,,,,1200.0,-34.0,792.0,269.28,,,,,
KG-63906,ROUND,0.320,L,VS1,EX,EX,EX,FNT,,,,,4.37 - 4.38 * 2.72,4.37,4.38,2.72,GIA,,1405371637,https://www.gia.edu/report-check?reportno=1405371637,,,,HK,62.20,57.00,MED,MED,,0.04,FACETED,NONE,,15.50,36.50,43.00,40.80,,,,Feather  Cloud  Needle  Pinpoint,,,,SB0,TB0,SF1,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONHOLD,NO,NO,NO,,,,,,,1100.0,-34.0,726.0,232.32,,,,,
KG-71584,ROUND,0.330,E,VS2,EX,EX,EX,NON,,,,,4.42 - 4.45 * 2.73,4.42,4.45,2.73,GIA,,6224243421,https://www.gia.edu/report-check?reportno=6224243421,,,,HK,61.50,59.00,MED,MED,,4.00,FACETED,NONE,,14.50,35.50,43.00,40.80,,,,Crystal,,,,SB0,TB0,SF0,SC0,,,0.99,,,TF1,,,,,,,  ,,18/07/2023,ONHOLD,NO,NO,NO,,,,,,,2000.0,-33.0,1340.0,442.2,,,,,
KG-72620,ROUND,0.330,I,VS2,EX,EX,EX,NON,,,,,4.40 - 4.42 * 2.75,4.40,4.42,2.75,GIA,,6224329897,https://www.gia.edu/report-check?reportno=6224329897,,,,HK,62.40,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,34.50,43.50,41.40,,,,Crystal  Needle  Feather,,,,SB0,TB0,SF0,SC0,,,1,,,TF1,,,,,,,  ,,18/07/2023,ONHOLD,NO,NO,NO,,,,,,,1600.0,-36.0,1024.0,337.92,,,,,
KG-77787,ROUND,0.320,I,SI1,EX,EX,EX,FNT,,,,,4.36 - 4.37 * 2.74,4.36,4.37,2.74,GIA,,6227445251,https://www.gia.edu/report-check?reportno=6227445251,,,,HK,62.70,57.00,MED,MED,,3.50,FACETED,NONE,,16.00,36.50,43.50,41.00,,,,Crystal  Cloud,,,,SB1,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-77787.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-77787,,,,1400.0,-40.0,840.0,268.8,,,,,
KG-77857,ROUND,0.300,J,VS2,EX,EX,EX,FNT,,,,,4.28 - 4.31 * 2.65,4.28,4.31,2.65,GIA,,2221445334,https://www.gia.edu/report-check?reportno=2221445334,,,,HK,61.90,59.00,STK,STK,,4.50,FACETED,NONE,,13.50,33.50,44.00,41.60,,,,Feather  Cloud,,,,SB0,TB1,SF1,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-77857.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-77857,,,,1400.0,-40.0,840.0,252.0,,,,,
KG-80055,ROUND,0.340,J,VS1,EX,EX,EX,NON,,,,,4.46 - 4.48 * 2.79,4.46,4.48,2.79,GIA,,5222521468,https://www.gia.edu/report-check?reportno=5222521468,,,,HK,62.50,57.00,MED,MED,,3.50,FACETED,NONE,,16.00,36.50,43.00,41.00,,,,Crystal  Cloud,,,,SB0,TB1,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-80055.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-80055,,,,1500.0,-37.0,945.0,321.3,,,,,
KG-81716,ROUND,0.340,H,SI1,EX,EX,EX,NON,,,,,4.44 - 4.47 * 2.79,4.44,4.47,2.79,GIA,,6224607762,https://www.gia.edu/report-check?reportno=6224607762,,,,HK,62.60,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.50,35.50,43.50,41.00,,,,Cloud  Feather,,,,SB0,TB0,SF1,SC0,,,0.99,,,TF1,,,,,,,  ,,18/07/2023,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-81716.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-81716,,,,1500.0,-33.0,1005.0,341.7,,,,,
KG-82162,ROUND,0.400,H,SI2,EX,EX,EX,FNT,,,,,4.70 - 4.74 * 2.89,4.70,4.74,2.89,GIA,,5221615194,https://www.gia.edu/report-check?reportno=5221615194,,,,HK,61.10,60.00,STK,STK,,4.00,FACETED,NONE,,13.50,34.50,43.50,41.00,,,,Crystal  Feather,,,,SB2,TB0,SF0,SC0,,,0.99,,,TF1,,,,,,,  ,,18/07/2023,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-82162.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-82162,,,,1500.0,-36.0,960.0,384.0,,,,,
KG-86258,ROUND,0.700,I,SI2,EX,EX,EX,NON,,,,,5.67 - 5.71 * 3.51,5.67,5.71,3.51,GIA,,2456817313,https://www.gia.edu/report-check?reportno=2456817313,,,,HK,61.70,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,35.50,43.50,41.20,,,,Cloud  Crystal  Feather,,,,SB2,TB2,SF2,SC0,,,0.99,,,TF2,,,,,,,  ,,18/07/2023,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-86258.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-86258,,,,2200.0,-37.27,1380.06,966.04,,,,,
KG-92138,ROUND,0.500,J,VS2,EX,EX,EX,NON,,,,,5.05 - 5.09 * 3.18,5.05,5.09,3.18,GIA,,6461946267,https://www.gia.edu/report-check?reportno=6461946267,,,,HK,62.80,57.00,STK,STK,,4.00,FACETED,NONE,,15.50,35.50,43.50,41.00,,,,Cloud  Crystal  Feather,,,,SB0,TB2,SF1,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92138.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92138,,,,2000.0,-40.0,1200.0,600.0,,,,,
KG-92152,ROUND,0.330,I,VS2,EX,EX,EX,FNT,,,,,4.40 - 4.43 * 2.78,4.40,4.43,2.78,GIA,,6462946617,https://www.gia.edu/report-check?reportno=6462946617,,,,HK,63.00,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.00,41.00,,,,Crystal  Cloud,,,,SB1,TB2,SF0,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92152.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92152,,,,1600.0,-38.0,992.0,327.36,,,,,
KG-92167,ROUND,0.310,K,SI1,EX,EX,EX,FNT,,,,,4.31 - 4.33 * 2.67,4.31,4.33,2.67,GIA,,1469946217,https://www.gia.edu/report-check?reportno=1469946217,,,,HK,61.70,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.00,35.00,43.50,41.20,,,,Crystal,,,,SB0,TB0,SF0,SC1,,,1,,,TF2,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92167.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92167,,,,1100.0,-36.0,704.0,218.24,,,,,
KG-92187,ROUND,0.300,I,VS2,EX,EX,EX,FNT,,,,,4.31 - 4.33 * 2.68,4.31,4.33,2.68,GIA,,6462945643,https://www.gia.edu/report-check?reportno=6462945643,,,,HK,62.00,57.00,MED to STK,MED,STK,3.50,FACETED,NONE,,15.00,35.00,43.00,41.00,,,,Crystal  Feather,,,,SB0,TB2,SF0,SC0,,,1,,,TF1,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92187.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92187,,,,1600.0,-39.0,976.0,292.8,,,,,
KG-92257,ROUND,0.300,G,SI1,EX,EX,EX,FNT,,,,,4.24 - 4.27 * 2.69,4.24,4.27,2.69,GIA,,1465946314,https://www.gia.edu/report-check?reportno=1465946314,,,,HK,63.20,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.50,36.50,43.50,41.00,,,,Cloud  Crystal,,,,SB0,TB2,SF0,SC0,,,0.99,,,TF1,,,,,,,  ,,18/07/2023,AVAILABLE,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92257.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92257,,,,1600.0,-33.0,1072.0,321.6,,,,,
KG-92270,ROUND,0.310,J,VS2,EX,EX,EX,FNT,,,,,4.33 - 4.35 * 2.71,4.33,4.35,2.71,GIA,,7468946032,https://www.gia.edu/report-check?reportno=7468946032,,,,HK,62.30,58.00,THN to MED,THN,MED,3.50,FACETED,NONE,,15.50,36.50,43.00,41.00,,,,Crystal,,,,SB0,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92270.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92270,,,,1400.0,-39.0,854.0,264.74,,,,,
KG-92300,ROUND,0.310,J,VS1,EX,EX,EX,FNT,,,,,4.31 - 4.33 * 2.70,4.31,4.33,2.70,GIA,,6462946333,https://www.gia.edu/report-check?reportno=6462946333,,,,HK,62.50,56.00,THN to MED,THN,MED,3.50,FACETED,NONE,,16.00,36.50,43.00,40.80,,,,Crystal  Needle  Pinpoint  Cloud,,,,SB1,TB1,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92300.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92300,,,,1500.0,-38.0,930.0,288.3,,,,,
KG-92357,ROUND,0.330,E,VS1,EX,EX,EX,NON,,,,,4.41 - 4.43 * 2.77,4.41,4.43,2.77,GIA,,7468945882,https://www.gia.edu/report-check?reportno=7468945882,,,,HK,62.70,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.00,43.50,41.20,,,,Cloud  Needle  Pinpoint,,,,SB0,TB1,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92357.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92357,,,,2200.0,-29.0,1562.0,515.46,,,,,
KG-92369,ROUND,0.340,G,VS1,EX,EX,EX,NON,,,,,4.45 - 4.47 * 2.82,4.45,4.47,2.82,GIA,,5463947272,https://www.gia.edu/report-check?reportno=5463947272,,,,HK,63.20,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.00,43.50,41.00,,,,Cloud  Needle  Pinpoint,,,,SB0,TB0,SF0,SC0,,,1,,,TF1,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92369.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92369,,,,2000.0,-26.0,1480.0,503.2,,,,,
KG-92400,ROUND,0.320,I,VS2,EX,EX,EX,FNT,,,,,4.36 - 4.39 * 2.73,4.36,4.39,2.73,GIA,,2466947087,https://www.gia.edu/report-check?reportno=2466947087,,,,HK,62.40,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,42.50,40.60,,,,Crystal  Cloud,,,,SB0,TB2,SF0,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92400.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92400,,,,1600.0,-39.0,976.0,312.32,,,,,
KG-92413,ROUND,0.310,J,VS1,EX,EX,EX,FNT,,,,,4.32 - 4.33 * 2.68,4.32,4.33,2.68,GIA,,1465946549,https://www.gia.edu/report-check?reportno=1465946549,,,,HK,62.00,56.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,34.50,43.00,40.80,,,,Crystal  Cloud  Feather  Pinpoint,,,,SB0,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92413.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92413,,,,1500.0,-38.0,930.0,288.3,,,,,
KG-92423,ROUND,0.410,H,SI2,EX,EX,EX,FNT,,,,,4.73 - 4.75 * 2.97,4.73,4.75,2.97,GIA,,7466946710,https://www.gia.edu/report-check?reportno=7466946710,,,,HK,62.70,57.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.00,40.80,,,,Feather,,,,SB0,TB2,SF2,SC0,,,1,,,TF1,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92423.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92423,,,,1500.0,-35.0,975.0,399.75,,,,,
KG-92480,ROUND,0.320,I,VS2,EX,EX,EX,FNT,,,,,4.35 - 4.37 * 2.73,4.35,4.37,2.73,GIA,,6465946962,https://www.gia.edu/report-check?reportno=6465946962,,,,HK,62.60,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.00,43.50,41.20,,,,Crystal  Feather,,,,SB0,TB2,SF0,SC0,,,1,,,TF1,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92480.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92480,,,,1600.0,-39.0,976.0,312.32,,,,,
KG-92552,ROUND,0.300,G,VS1,EX,EX,EX,NON,,,,,4.29 - 4.30 * 2.64,4.29,4.30,2.64,GIA,,6475051691,https://www.gia.edu/report-check?reportno=6475051691,,,,HK,61.40,61.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.00,35.50,43.50,41.00,,,,Feather,,,,SB0,TB0,SF0,SC0,,,1,,,TF2,,,,,,,  ,,18/07/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92552.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92552,,,,2000.0,-29.0,1420.0,426.0,,,,,
KG-92555,ROUND,0.310,J,VS2,EX,EX,EX,FNT,,,,,4.30 - 4.32 * 2.71,4.30,4.32,2.71,GIA,,7462980837,https://www.gia.edu/report-check?reportno=7462980837,,,,HK,62.80,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.50,41.00,,,,Crystal  Cloud  Feather,,,,SB0,TB2,SF1,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92555.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92555,,,,1400.0,-40.0,840.0,260.4,,,,,
KG-92562,ROUND,0.300,J,VS1,EX,EX,EX,FNT,,,,,4.28 - 4.31 * 2.69,4.28,4.31,2.69,GIA,,6461981493,https://www.gia.edu/report-check?reportno=6461981493,,,,HK,62.70,55.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,35.00,43.00,41.00,,,,Crystal  Feather  Cloud  Indented Natural,,,,SB0,TB2,SF0,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,NO,NO,NO,,,,,,,1500.0,-39.0,915.0,274.5,,,,,
KG-92622,ROUND,0.300,D,SI1,EX,EX,EX,NON,,,,,4.27 - 4.29 * 2.69,4.27,4.29,2.69,GIA,,6462981439,https://www.gia.edu/report-check?reportno=6462981439,,,,HK,62.80,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.00,44.00,41.40,,,,Crystal  Feather,,,,SB0,TB0,SF1,SC2,,,1,,,TF1,,,,,,,  ,,18/07/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92622.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92622,,,,1900.0,-35.0,1235.0,370.5,,,,,
KG-92654,ROUND,0.320,J,VS2,EX,EX,EX,NON,,,,,4.35 - 4.38 * 2.75,4.35,4.38,2.75,GIA,,5466980523,https://www.gia.edu/report-check?reportno=5466980523,,,,HK,63.00,55.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.50,36.50,42.50,40.60,,,,Feather  Crystal,,,,SB0,TB2,SF2,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92654.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92654,,,,1400.0,-35.0,910.0,291.2,,,,,
KG-92658,ROUND,0.320,E,VS2,EX,EX,EX,NON,,,,,4.38 - 4.40 * 2.76,4.38,4.40,2.76,GIA,,6462981051,https://www.gia.edu/report-check?reportno=6462981051,,,,HK,62.80,56.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.00,41.00,,,,Crystal  Cloud,,,,SB0,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92658.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92658,,,,2000.0,-32.0,1360.0,435.2,,,,,
KG-92663,ROUND,0.300,E,VS2,EX,EX,EX,NON,,,,,4.27 - 4.29 * 2.65,4.27,4.29,2.65,GIA,,6461981050,https://www.gia.edu/report-check?reportno=6461981050,,,,HK,61.90,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,35.00,43.50,41.00,,,,Crystal  Feather,,,,SB0,TB2,SF1,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92663.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92663,,,,2000.0,-32.0,1360.0,408.0,,,,,
KG-92717,ROUND,0.310,E,VS2,EX,EX,EX,NON,,,,,4.30 - 4.33 * 2.68,4.30,4.33,2.68,GIA,,1463980602,https://www.gia.edu/report-check?reportno=1463980602,,,,HK,62.10,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.50,43.00,40.80,,,,Crystal,,,,SB0,TB2,SF0,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92717.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92717,,,,2000.0,-32.0,1360.0,421.6,,,,,
KG-92720,ROUND,0.300,I,VS2,EX,EX,EX,NON,,,,,4.27 - 4.30 * 2.68,4.27,4.30,2.68,GIA,,6462980328,https://www.gia.edu/report-check?reportno=6462980328,,,,HK,62.50,57.00,MED to STK,MED,STK,3.50,FACETED,NONE,,15.50,36.50,43.00,40.80,,,,Feather  Cloud  Crystal,,,,SB0,TB0,SF2,SC0,,,0.99,,,TF1,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92720.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92720,,,,1600.0,-35.0,1040.0,312.0,,,,,
KG-92725,ROUND,0.320,H,VS2,EX,EX,EX,FNT,,,,,4.36 - 4.38 * 2.73,4.36,4.38,2.73,GIA,,7461980304,https://www.gia.edu/report-check?reportno=7461980304,,,,HK,62.40,57.00,MED to STK,MED,STK,3.50,FACETED,NONE,,16.00,36.50,43.00,40.80,,,,Crystal,,,,SB0,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92725.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92725,,,,1700.0,-34.0,1122.0,359.04,,,,,
KG-92809,ROUND,0.320,I,VS2,EX,EX,EX,NON,,,,,4.34 - 4.37 * 2.73,4.34,4.37,2.73,GIA,,2466981013,https://www.gia.edu/report-check?reportno=2466981013,,,,HK,62.60,58.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.50,43.50,41.20,,,,Cloud  Crystal  Feather,,,,SB0,TB0,SF0,SC0,,,0.99,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92809.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92809,,,,1600.0,-35.0,1040.0,332.8,,,,,
KG-92819,ROUND,0.320,E,VS1,EX,EX,EX,NON,,,,,4.38 - 4.39 * 2.76,4.38,4.39,2.76,GIA,,3465980370,https://www.gia.edu/report-check?reportno=3465980370,,,,HK,62.90,56.00,MED,MED,,3.50,FACETED,NONE,,16.00,36.00,43.50,41.20,,,,Cloud  Needle  Pinpoint,,,,SB0,TB1,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92819.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92819,,,,2200.0,-30.0,1540.0,492.8,,,,,
KG-92820,ROUND,0.300,E,VS1,EX,EX,EX,NON,,,,,4.28 - 4.29 * 2.69,4.28,4.29,2.69,GIA,,6462980777,https://www.gia.edu/report-check?reportno=6462980777,,,,HK,62.80,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,15.00,35.00,44.00,41.40,,,,Cloud  Pinpoint,,,,SB0,TB1,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92820.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92820,,,,2200.0,-30.0,1540.0,462.0,,,,,
KG-92854,ROUND,0.310,J,SI1,EX,EX,EX,FNT,,,,,4.34 - 4.36 * 2.69,4.34,4.36,2.69,GIA,,2466981339,https://www.gia.edu/report-check?reportno=2466981339,,,,HK,61.80,57.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.50,34.00,43.50,41.00,,,,Crystal  Cloud,,,,SB2,TB2,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92854.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92854,,,,1300.0,-41.0,767.0,237.77,,,,,
KG-92862,ROUND,0.300,F,VS1,EX,EX,EX,NON,,,,,4.32 - 4.33 * 2.65,4.32,4.33,2.65,GIA,,7466980166,https://www.gia.edu/report-check?reportno=7466980166,,,,HK,61.30,59.00,MED to STK,MED,STK,4.00,FACETED,NONE,,14.00,34.00,43.50,41.20,,,,Crystal  Pinpoint,,,,SB0,TB1,SF0,SC0,,,1,,,TF0,,,,,,,  ,,18/07/2023,ONHOLD,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92862.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92862,,,,2100.0,-31.0,1449.0,434.7,,,,,
KG-92865,ROUND,0.300,J,VS1,EX,EX,EX,NON,,,,,4.25 - 4.28 * 2.68,4.25,4.28,2.68,GIA,,7468980239,https://www.gia.edu/report-check?reportno=7468980239,,,,HK,62.90,55.00,THN to STK,THN,STK,3.50,FACETED,NONE,,16.50,36.50,43.00,40.60,,,,Needle  Feather  Cloud  Pinpoint,,,,SB0,TB2,SF0,SC0,,,0.99,,,TF1,,,,,,,  ,,18/07/2023,ONMEMO,YES,YES,NO,,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/RealImages/KG-92865.jpg,https://pdhk.blob.core.windows.net/pdhk/www/viewer3/Vision360.html?d=KG-92865,,,,1500.0,-40.0,900.0,270.0,,,,,
